povrate60,mort_related_post,mort_injury_post,mort_related_pre
-41.043304,0,37.678974,0
-37.895496,1.9487262,19.765652,2.909091
-28.334745,2.7590773,24.831696,8.4245996
-36.872147,5.0246205,30.147724,31.210987
-29.526997,1.8497965,20.347761,7.2987375
-34.342789,0,15.755475,0
-41.294083,0,28.786919,6.0331826
-32.616562,0,23.105183,7.8899198
-39.540367,2.4938798,15.378924,1.704681
-41.467968,3.1676645,19.005987,18.487705
-42.044338,0,8.0860357,14.160295
-40.312733,2.7242918,19.459229,5.312593
-36.582943,0,30.815285,0
-42.329544,2.1270854,17.149626,5.1350827
-43.698395,3.4646735,18.189535,4.3011608
-39.711037,1.0237021,12.625659,3.2322292
-40.023075,2.1405714,16.054285,4.4397087
-38.400249,.80844009,16.168802,4.5265255
-43.743095,0,13.506669,5.0428643
-42.817417,1.496991,12.474925,2.3670881
-40.622448,2.2683246,15.424607,3.4032125
-36.84166,1.7871743,15.190982,13.978752
-40.906536,2.283783,13.702697,0
-41.739017,6.7301545,23.55554,6.0782886
-30.828465,4.9073839,21.41404,5.3659582
-43.056911,9.1983624,32.194271,26.288118
-43.820057,1.5053797,13.333362,5.4220695
-37.792107,2.2176883,24.394571,4.4899426
-29.288786,0,9.5165586,15.304561
-11.342294,0,29.265438,0
-28.502396,0,21.800741,0
-30.221628,0,19.542702,0
-35.789646,0,29.530466,0
-38.900314,0,0,0
-6.2115722,0,0,13.462574
2.6683259,0,36.363636,0
-21.383471,0,0,0
-24.592009,0,0,0
-26.115034,0,18.583906,0
-42.833351,.86941147,14.779995,4.5255799
-40.079998,0,0,0
-43.038902,9.4015884,4.7007942,0
-27.286997,0,66.305672,0
-29.465137,0,34.071548,0
-42.47398,2.5717802,11.75671,6.4528618
-34.296631,0,9.7280998,0
-43.785889,0,17.034807,0
-38.815125,0,16.711229,40.355125
-34.745399,18.099548,0,0
-16.06484,0,0,0
-41.375435,0,67.750679,0
-37.88879,0,0,0
-42.882687,0,11.831519,39.123631
-34.276588,0,24.896679,0
-38.161469,.93045759,18.609152,6.9705839
-18.47048,0,48.092339,15.206813
-40.974815,0,0,0
-42.685863,0,36.977692,6.6586761
-39.630627,3.155968,26.825727,5.9375372
-42.450829,0,0,0
-32.076187,12.828736,51.314945,18.705574
-32.957073,9.5156536,28.546959,0
-36.575882,0,29.735355,0
-29.292284,0,43.159256,11.900512
-33.861156,0,0,0
-43.178444,0,0,0
-42.011539,0,27.397261,0
-40.966591,0,35.790981,0
-29.814659,0,31.426775,0
-38.028454,0,11.04159,5.9930482
-20.471373,10.006003,0,0
-36.413158,0,0,27.457441
-11.227292,0,0,0
-29.730946,0,0,0
-39.803265,0,85.579803,0
-40.338066,0,0,0
-38.072216,0,0,0
-39.267281,0,0,0
-34.352264,1.9761088,20.749144,4.2306552
-33.457558,0,37.359901,0
-34.918457,3.3964698,12.453723,4.8683124
-31.558451,1.2753638,28.058004,4.3521781
-37.021919,2.3946464,26.123415,7.8926597
-24.861158,2.9160471,18.468298,4.5812716
-7.9436011,0,7.1306334,0
-28.449242,1.1791062,11.791062,8.5932798
-17.189119,0,25.43882,0
-41.552734,1.008985,12.612312,2.5869875
-35.143364,1.8332601,19.832541,2.0657103
-1.9610457,0,13.08558,20.008003
-33.604237,0,34.252441,0
-14.286119,0,32.671432,0
-23.359316,0,13.141036,0
-28.249542,7.8019857,29.257446,21.422451
-13.164285,0,25.919327,21.49613
-36.921726,2.3400846,22.050797,5.2056222
-15.754563,6.9141951,13.82839,0
-11.050252,0,0,0
-32.948196,2.0446594,25.762709,6.1988192
-31.666059,2.982152,22.366138,5.703577
-12.959615,15.810277,31.620554,0
-.30409762,0,31.113876,0
.96148157,2.4948232,24.948233,10.39501
-4.7156425,0,86.862106,0
-20.469469,0,40.958427,0
-24.494688,0,20.712511,0
-.16767643,11.096316,22.192633,0
-15.237691,5.2026429,26.013214,13.259083
-23.574259,0,49.952824,0
-15.229955,4.0515356,4.0515356,0
-23.877691,6.726759,40.360554,7.839448
-31.24297,1.35168,21.626883,3.7233779
2.9433656,0,8.262414,0
-28.627785,0,5.3276505,6.3734865
-6.6838126,0,6.0951452,4.2419615
.78752756,9.9443121,39.777248,0
-20.103193,0,0,0
-20.792433,1.5247157,25.920166,12.416962
-28.742188,4.1815462,30.943439,9.6061478
-27.468576,1.8137134,10.882281,8.662509
-7.1110015,0,6.4441295,0
-10.329053,0,0,44.091709
-.29361483,14.165309,14.165309,9.3949642
-27.097181,1.1873382,23.746765,11.566042
-15.161809,0,27.324581,8.9142447
-30.920502,2.8313372,39.638721,10.429704
-34.238636,0,27.12299,7.6225324
-21.779764,6.6577897,13.315579,7.8173857
-36.910053,2.9816628,23.853302,0
-27.798338,0,28.512774,0
-36.17947,1.9506269,17.555641,5.4034581
-19.586782,0,14.300424,0
-31.540894,2.0090983,25.54425,11.731582
-19.517752,4.4461241,26.676744,0
-34.65646,2.0707793,15.530845,7.4869914
-28.040539,1.6049045,26.0797,10.380236
-17.456865,0,17.361111,8.7604027
-22.060884,0,22.771912,10.811979
-26.873777,0,20.002769,7.8988943
-28.682974,0,27.010742,5.3694158
-35.638798,2.1684213,18.431581,8.0593166
-25.777185,1.3857421,13.16455,5.2075195
-6.9116797,0,11.726767,13.092433
-7.4372649,0,10.518012,20.140987
-15.586099,0,26.246719,0
-16.923056,0,30.066145,0
-29.282633,2.6530478,19.897858,14.634147
1.0324121,0,0,0
-7.9404387,6.3893681,38.336208,19.190174
-.96790838,15.989766,23.98465,0
2.4667115,6.2996097,31.498047,9.7465887
9.0638762,16.363934,32.727867,20.449898
-1.0477233,10.79797,32.393909,15.857913
14.856959,0,26.089226,25.680534
-18.731649,3.6863642,22.118185,21.853148
-15.647798,0,27.162842,0
-18.673147,0,20.02804,0
-18.839983,0,17.874014,0
-8.6754236,0,7.2207379,22.431583
-3.8021865,0,55.529114,12.540757
-27.339905,1.4724613,22.08692,4.2519717
-10.723786,0,11.491611,16.534391
-7.3185668,0,35.984165,0
5.7191796,0,26.404383,36.791759
.12708904,0,30.759766,0
-5.940454,3.3447053,30.102348,0
10.831889,0,38.593277,11.896265
-1.0431037,0,59.655701,15.649452
14.287951,0,17.724211,0
-24.798796,7.617887,45.707321,0
2.2463212,14.874312,29.748625,0
-20.327604,5.8032694,17.409807,17.711655
-33.600025,0,15.007804,0
-11.620259,0,13.118195,22.988506
-28.115822,2.2839916,22.268917,5.5544977
-36.824642,20.07226,0,0
-22.40024,4.9771051,14.931316,16.758841
-19.208097,0,12.456661,0
-24.180357,6.0795202,20.265066,4.0809665
5.7041039,0,0,29.655991
-40.643604,1.3540045,20.310066,5.4528599
4.5171304,13.984058,41.952175,41.718815
-42.244751,2.7471128,15.305342,3.6654205
-4.0603881,3.84571,38.4571,12.578616
-11.764577,2.9591053,29.591051,12.440906
-12.644059,0,19.035189,48.253235
-4.9235587,0,28.624588,23.929171
-14.354257,0,16.747147,5.1631556
5.4106545,0,0,22.371365
-3.3289084,0,20.43214,0
-13.880307,0,8.8621054,0
2.9327035,0,0,0
-6.0937476,4.0454712,24.272827,16.270744
-8.2926683,6.1508179,24.603271,0
6.2245049,9.4446545,9.4446545,0
-22.856977,4.9097104,28.47632,7.1293621
-21.945601,3.7639265,9.4098167,0
12.329005,7.2817302,21.84519,10.156408
1.1732736,0,93.896713,0
-15.347177,11.319901,16.979851,0
-12.434896,0,43.016037,8.4260197
-4.551908,15.175275,35.408974,17.244352
-2.9091353,0,12.683917,20.251114
-11.530965,0,25.201612,0
-15.351777,0,19.671873,0
-29.756769,0,23.452845,11.715638
-17.539896,0,24.049061,0
-11.174336,0,7.9560823,0
-30.081615,2.080317,23.923643,6.2658887
-.78881216,0,0,18.175209
2.3741364,0,0,0
-27.66292,4.100966,10.252415,3.5460992
-16.365995,0,21.023125,0
-1.6914611,0,31.359432,32.159512
-1.0399642,0,9.4741831,25.23341
-27.481478,2.0009072,11.338473,0
-18.566698,0,15.08599,0
-21.597918,0,21.311251,3.1088727
13.252528,10.185374,0,0
-19.576666,6.0060062,12.012012,0
-4.2039161,0,54.768799,11.837121
-11.715875,5.9014459,17.704338,0
-4.3459296,0,17.379215,0
-12.980611,3.1627555,12.651022,0
-32.385525,2.6610608,18.627424,10.022049
7.670176,0,59.297913,15.137753
-17.872061,9.0077915,36.031166,8.8043671
7.2151284,0,56.737587,23.245003
-6.4142585,0,8.8952141,15.503876
6.8427758,10.986596,38.453087,22.696323
-.87037802,0,24.783148,14.880953
-9.5923815,0,38.570328,18.811136
-9.1003504,6.4275613,38.565369,0
-16.229425,0,0,14.088475
1.7143807,0,0,0
-7.0936065,0,21.206337,4.5674615
1.567965,8.8691797,8.8691797,0
-8.0027971,3.5679879,24.975916,29.086678
7.6867852,15.820282,15.820282,0
3.1534257,0,47.404598,0
-18.287386,1.5761187,15.761187,5.9364796
-8.6942606,0,34.851299,0
-6.6974196,5.9217148,29.608574,0
7.1391778,0,37.206993,0
5.1721826,0,36.281837,0
-4.3014922,0,56.30983,14.594279
10.516269,18.971731,18.971731,0
-2.8943305,0,45.303535,14.208582
3.7710824,0,0,0
-3.936811,4.4497843,22.24892,0
-8.61448,0,24.618414,53.163212
4.4800668,0,0,49.529469
-5.0839019,0,8.7252417,13.706141
-14.271695,0,20.601566,0
-28.853268,2.6382439,21.765512,2.7968898
-19.0273,0,15.19803,35.20631
-13.753091,9.1861105,9.1861105,0
-.44062182,0,12.439358,0
-23.334467,12.012974,20.021624,0
-11.521302,5.8847761,29.42388,0
-10.402516,10.09795,10.09795,0
-4.6443191,9.024456,18.048912,0
-4.7043891,0,26.462027,20.964361
-19.20495,3.3919001,27.135201,5.9865899
-15.350171,0,25.207966,55.066078
-2.044004,0,11.124708,16.989466
13.877078,0,48.520134,0
-9.644105,0,12.137395,0
6.5386834,0,24.180874,0
-22.075006,2.0378082,21.05735,0
-19.049551,0,21.071644,81.699348
11.807521,0,29.403116,0
1.9771714,0,40.541637,8.5910654
3.5290017,0,35.557663,62.656643
-25.121931,0,26.992374,13.224015
-19.314348,5.4027772,81.041656,0
9.6996031,0,35.081566,18.539118
-4.0338378,7.1055532,21.316658,28.529043
7.8952737,0,0,52.029137
7.8411889,0,0,42.517006
-2.9815192,0,42.262451,0
5.1436105,0,38.575287,52.465897
2.6666245,9.457159,9.457159,0
7.5927529,8.5616436,25.684931,21.177467
-11.95519,5.5937796,22.375118,4.2844901
-6.3611732,3.2119226,12.847691,11.687704
-7.3829131,0,22.806057,17.806269
-3.392549,0,0,41.356491
4.4619851,0,16.630634,0
-18.695597,2.2163122,33.244682,0
1.0732484,0,31.100975,16.45278
-4.6766944,0,11.050945,0
4.3787866,0,0,0
-25.979223,4.659615,23.298075,0
-28.716316,1.995092,15.960736,3.3840947
-15.104665,6.697475,26.7899,0
-22.026712,8.7151031,26.145309,8.483923
9.37955,0,32.797638,17.253279
2.5009408,0,16.68799,7.2212596
-10.445512,5.1419168,35.99342,7.5654411
15.951121,0,0,76.1035
5.1478219,0,0,0
-14.585557,0,13.152703,0
-27.490795,9.6130733,35.247936,3.6509676
4.0460343,0,46.475601,69.300072
-6.7811866,0,11.097548,29.086678
-7.8071342,10.182262,10.182262,0
6.5944467,5.8102374,23.24095,0
-30.031458,2.5463111,12.731555,6.7476382
-35.150928,0,11.983582,10.342331
-33.787395,3.4810457,17.405228,6.6813655
-43.989887,.68463606,25.331535,4.7032266
-42.815918,0,32.195751,0
-38.358158,0,27.483852,0
-37.033188,0,25.833118,0
-38.124699,0,21.334091,4.3848109
-39.985592,0,27.824152,0
-37.255466,0,41.928722,0
-36.059097,0,30.659172,0
-34.027538,0,27.932961,0
-39.836697,0,0,0
-34.883972,2.5564332,20.451466,0
-41.152309,0,31.585596,0
-39.76173,0,41.297665,8.0593166
-25.164785,0,0,0
-40.903572,0,39.517883,0
-31.686274,0,61.255741,44.326241
-36.261532,0,8.8995686,9.0285301
-36.256538,0,19.329275,0
-38.188229,0,33.952976,0
-38.440857,0,0,0
-32.891487,0,58.337383,0
-37.625984,15.553309,31.106619,20.898642
-39.428959,0,41.19101,0
-35.118748,0,42.550175,0
-41.246624,6.0927315,22.340015,0
-27.533142,0,43.789227,0
-43.723541,32.404408,32.404408,0
-37.70079,0,17.02804,0
-40.229946,0,34.293552,8.4947329
-42.215813,3.5447166,14.178866,0
-36.768223,0,0,0
-35.633018,0,23.713541,0
-33.514156,6.9405885,13.881177,0
-41.625469,0,54.068668,30.52503
-31.735392,0,63.111393,0
-40.273293,2.1099718,40.089462,6.8418174
-29.219084,0,37.792896,0
-37.435871,0,22.574932,2.5867867
-10.565129,0,9.7276268,0
-28.730057,0,8.1679325,24.838549
-17.290838,0,23.036167,0
-38.159519,3.0086951,21.060865,9.0752335
-31.432356,0,0,0
-34.9618,6.2656641,31.328321,0
-32.662754,0,31.269543,0
-42.587135,1.6933798,11.853658,4.2062759
-36.012451,3.2081101,6.4162202,0
-29.415327,0,31.0294,0
-31.735361,0,24.875622,0
-35.004307,0,34.811668,12.410028
-39.234322,2.854696,14.273479,12.416191
-36.977253,0,12.513295,0
-27.787691,0,21.026072,0
-39.020222,0,13.682698,9.7408924
-37.664768,0,17.41958,7.7124786
-30.578457,5.7067852,11.41357,0
-27.240808,0,0,0
-35.271938,0,18.487705,0
-30.462046,0,29.18004,0
-38.8661,8.3187752,0,0
-27.384495,0,6.0472288,5.2960491
-38.911808,5.5763121,11.152624,8.6288719
-6.5856223,0,0,45.413261
-28.589958,7.0274067,21.08222,0
-20.656214,0,30.740854,19.794142
-33.286449,0,10.755579,0
-15.318929,23.607176,47.214352,0
-32.526863,0,38.724667,0
-39.701569,0,9.9393702,3.3081911
-37.802982,3.5258443,17.629223,9.7924013
-30.738062,5.3520298,16.056089,0
-26.278048,0,10.474495,0
-31.464756,6.6724496,20.017349,0
-37.719616,0,11.657729,9.3580389
-34.306595,0,9.3707542,7.2621641
-18.392321,0,29.312618,0
-43.683514,4.2997346,26.873341,9.3738279
-31.812868,0,14.271442,9.6562376
-40.073376,3.3017466,9.9052401,12.623075
-41.744381,6.0983047,9.1474571,4.1030693
-43.33522,4.20327,16.81308,0
-35.180771,0,4.2320876,6.4102564
-42.358269,2.2846177,5.711544,8.1589365
-43.874741,1.7469232,16.59577,5.2688427
-34.782166,5.0220971,12.555243,4.1192946
-31.845221,0,22.755718,18.096272
-37.579235,0,8.1699343,0
-36.628296,0,18.416206,0
-24.594172,8.4552298,33.820919,0
-38.14463,0,41.339397,0
-32.583035,0,5.7359185,9.8853302
-32.555878,3.8207314,15.282926,5.5555553
-38.617138,0,17.080002,16.388069
-36.001926,0,0,12.300123
-40.134224,2.4145257,24.145258,4.0690103
-30.387125,0,33.06514,0
-40.854416,0,0,0
-25.01333,12.984484,25.968967,8.6400557
-11.410348,0,60.404713,0
-7.4098639,13.415616,53.662464,0
-42.479927,0,0,34.794712
-34.790112,0,11.265067,12.771392
-32.761692,0,35.343182,0
-38.619415,3.1186774,26.508759,4.9719911
-19.332819,4.8847208,24.423603,16.252235
-43.59753,2.7575936,13.787969,1.1528441
-26.940706,0,15.537601,20.128824
-27.504839,0,0,0
-29.528301,0,10.050756,7.0531812
-35.072567,0,16.686134,21.097046
-41.288971,0,9.4701452,3.5280836
-29.705973,0,25.551487,13.144059
-39.931774,1.1975905,11.975904,6.7517385
-38.727043,8.8786287,26.635887,0
-36.305187,0,5.4608998,0
-34.520046,0,25.926886,0
-29.588856,0,0,0
-30.835659,0,16.249594,0
-40.521664,1.6600816,13.280653,2.3874326
-30.953302,0,11.384336,0
-43.442837,3.3787208,13.514883,53.304905
-43.260502,1.6326264,4.8978791,3.0474796
-33.757034,0,10.615711,0
-41.364468,0,20.408163,0
-40.87463,0,16.284523,0
-32.627094,0,20.552872,0
-37.582783,11.82942,11.82942,9.5020905
-42.4655,0,8.4721832,8.5667782
-40.583942,1.2066656,10.85999,8.9509487
-35.660912,0,24.957573,0
-40.090626,0,25.112108,10.843635
-17.036303,0,35.256786,0
-31.548801,0,19.966455,6.0408359
-41.442383,3.2326889,22.628822,0
-32.782543,4.2560434,12.76813,8.1459761
-43.265522,3.136271,6.272542,0
-42.086658,.9251036,19.427176,4.3077455
-35.71505,3.2515037,3.2515037,10.091836
-35.742817,0,11.0595,0
-38.200699,3.7504454,7.5008907,5.9101653
-38.13271,0,17.674089,9.4375238
-25.990358,0,10.519671,0
-37.989346,6.0764418,12.152884,0
-33.401428,3.7221768,22.333061,5.688282
-43.469627,2.7236452,17.703695,2.1041114
-29.396976,0,3.9766176,14.324595
-43.608257,0,19.01683,0
-33.386795,0,33.230873,16.212711
-38.562874,2.0454917,20.454918,0
-42.140236,3.1960113,0,4.8761458
-38.113621,3.0525963,12.210385,5.2675939
-37.429314,4.3461256,8.6922512,0
-39.421913,4.5635009,27.381006,0
-33.288036,0,28.275974,0
-33.986816,0,18.347782,0
-33.098995,0,12.60041,7.9974408
-40.63932,5.7712283,25.008657,12.004802
-30.34852,0,27.865826,0
-34.392899,2.6589379,31.907257,13.213531
-40.595177,2.8522532,25.67028,8.99928
-29.301785,0,18.738874,0
-37.456268,5.1817498,7.772625,8.6088152
-40.93251,1.6088034,12.870427,3.1494079
-41.926529,0,6.559958,0
-40.486679,0,9.9115887,8.3042688
-35.628407,0,22.008657,26.00104
-42.501915,0,35.48616,5.562973
-33.784176,0,23.272051,0
-26.804628,0,19.164431,0
-28.984097,7.3849788,14.769958,0
-30.606218,14.486455,14.486455,0
-29.983276,5.9199619,17.759886,8.1221571
-28.138861,0,0,0
-31.348272,4.3871193,4.3871193,8.0012798
-32.085064,0,39.827942,11.29178
-39.838398,0,23.933752,0
-38.733791,3.6971309,22.182787,5.9396529
-32.976311,0,17.429953,7.5346594
-34.664127,0,10.626428,7.6277652
-27.811136,5.0528016,5.0528016,10.224949
-41.792206,5.2521009,18.382353,13.469828
-27.437334,0,23.682652,0
-32.026474,0,43.298374,0
-36.530602,4.9716616,14.914985,11.096316
-32.296654,0,17.941511,8.1300812
-30.481823,0,17.280111,0
-40.546928,0,13.374348,0
-32.466175,0,0,0
-37.604919,0,15.748156,6.6899862
-35.881256,0,41.138157,0
-37.726013,2.3892865,14.335719,4.9766097
-42.401611,15.872008,15.872008,5.1583619
-34.070133,12.362468,24.724936,0
-31.962034,0,10.455056,0
-28.764103,0,24.802818,17.8731
-41.119469,0,14.362451,4.4238
-42.726219,0,8.5386162,14.380213
-39.646698,0,23.930315,0
-43.000916,0,16.670834,0
-24.952715,0,27.750797,0
-26.429739,0,23.832222,0
-18.693949,7.4404764,7.4404764,9.2336102
-22.82403,0,8.1473036,13.164824
-25.193804,0,0,13.408421
-34.943581,0,9.8916864,0
-38.728085,0,5.0125313,0
-36.466114,0,14.783422,23.353573
-32.007027,8.7638578,21.909645,6.6666665
-33.570915,0,25.667351,7.4139977
-32.770031,0,25.994282,0
-34.182564,0,9.7694416,0
-32.877636,0,18.873266,0
-31.639925,0,14.494854,18.950161
-32.024731,0,19.341112,0
-42.91605,0,13.270344,15.17635
-27.916708,0,7.4107013,0
-28.150337,0,35.617611,0
-26.266249,0,30.623182,21.843599
-33.753803,0,38.030045,15.360983
-23.896017,5.4168248,27.084124,0
-42.585781,1.9701328,19.701328,5.7411871
-28.172443,0,0,0
-39.859619,0,3.9054873,0
-29.111238,0,0,0
-20.517168,0,0,0
-22.287119,5.3697042,32.218224,7.5861025
-28.325342,8.7873459,0,0
-42.405045,0,7.733952,7.3607893
-34.546848,0,8.7780895,0
-30.828428,4.5745654,13.723697,0
-36.687824,0,5.7706733,0
-34.982552,0,19.627085,10.469011
-28.652737,0,26.350462,0
-31.444405,0,30.915087,0
-35.198963,0,8.7039776,23.148148
-23.653925,0,10.851871,0
-37.458836,0,6.9218521,0
-27.855627,8.5005102,0,0
-37.143925,0,18.222681,22.065313
-29.798862,0,7.1128817,0
-36.906017,0,0,0
-19.669958,10.814318,43.257271,0
-37.132458,0,10.194719,0
-30.407595,0,13.791202,0
-32.963234,0,23.601604,0
-29.812414,4.7936339,19.174536,0
-41.855469,0,9.8016796,4.4984255
-36.752499,0,16.619577,0
-39.202137,1.8415189,25.781265,0
-29.941044,0,23.164234,7.2716694
-29.971851,0,9.237875,0
-28.634415,0,0,0
-39.086472,0,16.8218,3.6734993
-35.024067,0,9.2472725,15.403574
-28.890072,0,37.425148,17.111567
-23.640272,8.4473724,16.894745,0
-30.762848,0,0,0
-32.763901,0,34.718204,14.480163
-36.059326,0,12.67802,0
-42.710136,0,13.718551,8.4324141
-30.72014,0,8.7834873,0
-29.015453,0,9.4428711,0
-25.450796,0,10.686044,0
-29.848845,13.403029,53.612118,16.388069
-32.271564,0,29.016346,0
-40.311695,2.6498489,21.198792,0
-33.711872,0,22.187708,8.0906153
-26.697432,0,0,14.136273
-30.146488,6.9046469,0,0
-21.864431,9.248127,27.744381,9.4108791
-28.841782,0,0,0
-31.023527,0,21.001785,0
-42.340115,1.2592872,12.592873,12.307909
-32.80146,0,32.419113,8.5822172
-15.113873,0,68.337128,0
-32.982716,0,26.721296,35.631569
-24.395041,0,29.819592,9.1024942
-28.038322,0,11.563367,10.281719
-42.614349,0,18.093407,0
-32.52956,0,12.472716,0
-18.15494,0,16.385384,18.214935
-27.817129,0,17.102787,0
-24.165049,0,0,0
-39.740128,0,9.548666,6.8728523
-40.690952,5.9222412,8.8833618,0
-33.531101,5.936832,17.810495,8.0906153
-20.527243,0,0,0
-41.846115,2.6271544,10.508617,3.0973177
-34.6059,0,19.455254,0
-25.908468,0,5.8183513,7.4471254
